Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,2,156,"H3","100590",8,1342085,1342085,375832,6
2010,699,1,156,"H3","11",1,,,5703305,0
2010,699,2,156,"H3","11",1,,,1457395,0
2010,699,2,156,"H3","1101",8,48145,48145,17117,6
2010,699,2,156,"H3","110100",8,48145,48145,17117,6
2010,699,1,156,"H3","1102",8,4052,4052,2499,0
2010,699,2,156,"H3","1102",8,1430,1430,1256,6
2010,699,1,156,"H3","110290",8,4052,4052,2499,0
2010,699,2,156,"H3","110290",8,1430,1430,1256,6
2010,699,1,156,"H3","1103",8,1621000,1621000,1133806,0
2010,699,1,156,"H3","110412",8,344786,344786,129350,0
2010,699,1,156,"H3","110422",8,36000,36000,25434,0
2010,699,1,156,"H3","1105",8,182950,182950,231490,0
2010,699,2,156,"H3","1105",8,80627,80627,109096,6
2010,699,1,156,"H3","110520",8,182950,182950,231490,0
2010,699,2,156,"H3","110520",8,80627,80627,109096,6
2010,699,1,156,"H3","1107",8,1940000,1940000,1022220,0
2010,699,1,156,"H3","1108",1,,200320,52190,0
2010,699,2,156,"H3","1108",1,,140833,161314,4
2010,699,1,156,"H3","110812",8,5000,5000,2839,0
2010,699,1,156,"H3","110819",8,193520,193520,45964,0
2010,699,2,156,"H3","110819",8,140833,140833,161314,6
2010,699,1,156,"H3","1109",8,2472999,2472999,3106316,0
2010,699,1,156,"H3","110900",8,2472999,2472999,3106316,0
2010,699,1,156,"H3","12",1,,,12384769,0
2010,699,2,156,"H3","12",1,,,48662960,0
2010,699,2,156,"H3","1201",8,52333,52333,23081,6
2010,699,2,156,"H3","120100",8,52333,52333,23081,6
2010,699,2,156,"H3","1202",8,13830547,13830547,11761092,6
2010,699,2,156,"H3","120210",8,76826,76826,84183,6
2010,699,2,156,"H3","120220",8,13753721,13753721,11676909,6
2010,699,2,156,"H3","1206",8,475,475,505,6
2010,699,2,156,"H3","120720",1,,,413055,0
2010,699,2,156,"H3","120740",8,21481578,21481578,33515562,6
2010,699,1,156,"H3","120791",8,1750000,1750000,4035173,0
2010,699,2,156,"H3","120799",1,,,76128,0
